,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
49,Review,2020-08-21T09:06:55+00:00,Great service and quick,en,"Great service and quick, friendly communication",Person,,Olla,https://uk.trustpilot.com/users/5f3f8eae135bed7a202f4312,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
50,Review,2020-08-19T11:19:50+00:00,Very helpful made enrolling easy,en,Very helpful made enrolling easy,Person,,Julie McColgan,https://uk.trustpilot.com/users/5b9bde114de5666d345c7655,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
51,Review,2020-08-17T20:39:47+00:00,Professional and easy to deal with,en,"I specifically waited to have my first webinar before submitting feedback and I feel very positive about this college. The sign up process was very easy and I had a contact in case of questions. The initial webinar was like an ""orientation"" session and I found it very informative. I am very much looking forward to my course.",Person,,MP,https://uk.trustpilot.com/users/58aad1390000ff000a79638d,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
52,Review,2020-08-17T14:55:25+00:00,Sign up process really simple,en,"Sign up process really simple, looking forward to starting the course and my new career in HR!",Person,,Samantha Hizlioglu,https://uk.trustpilot.com/users/5db6b16ca9bcaa76fe33490e,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
53,Review,2020-08-17T13:59:01+00:00,Great service and quick to start,en,Great service and quick to start,Person,,Elisa,https://uk.trustpilot.com/users/5f3a8d2437f3e85c6d63bd73,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
54,Review,2020-08-13T18:35:22+00:00,Really informative friendly group And…,en,"Really informative friendly group And fantasists resources, looking forward to the studies ahead!",Person,,Dianne Mclay,https://uk.trustpilot.com/users/5cdbb238a5274e8fa71d9f44,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
55,Review,2020-08-12T15:17:03+00:00,I can't fault the service,en,"All of the communications I have had with DPG so far have been friendly, informative and relevant.  When they say they are going to do something they do it.  If you make an inquiry you get a quick response.  So far I have every confidence in the quality of the organisation and the learning materials they will put in place to help me develop my knowledge and career.",Person,,Nigel,https://uk.trustpilot.com/users/5f3407ee0cf9fef8dac873b9,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
56,Review,2020-08-10T10:36:48+00:00,quick and easy to do,en,"quick and easy to do, no complicated jargon",Person,,Anna,https://uk.trustpilot.com/users/5f312340d0946b83524856fa,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
57,Review,2020-08-07T11:14:32+00:00,Excellent service,en,Excellent service from Caitlin who enrolled me into the programme - everything thus far has been efficient and clear and I am looking forward to be able to take part in the course!,Person,,Eleanor,https://uk.trustpilot.com/users/5f2d3798f71e4352513a44d1,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
58,Review,2020-08-06T07:46:13+00:00,Helpful and quick,en,"Roderick was helpful in responding to my queries quickly, informatively and in a professional manner.",Person,,Alissia,https://uk.trustpilot.com/users/5f2bb54444b9fa597dc91774,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
59,Review,2020-08-01T08:46:36+00:00,Everything I was looking for...,en,"After a few weeks of serious research on which provider to use I chose DPG because they offered me exactly what I was looking for which was a blended learning experience, an early start date, workshops, facilitator/expert support and excellent customer service from the sales team. Thank you so much, I'm looking forward to getting started :)",Person,,Marianne Dale,https://uk.trustpilot.com/users/5efcbf2ea61f5a252fce3382,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
60,Review,2020-07-31T15:53:18+00:00,CIPD Level 5 Diploma,en,Really pleased with my course so far. Great help from Sean when I enquired and everything has been of the quality that I expected. Really enjoying the course so far!,Person,,Lynne Moss,https://uk.trustpilot.com/users/5f243e6e6098c5afc62140ae,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
61,Review,2020-07-31T12:20:14+00:00,Very helpful,en,"Very helpful, easy to work with. Thank you very much.",Person,,Sam,https://uk.trustpilot.com/users/5f240c7dae69ceb966397dc8,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
62,Review,2020-07-30T16:43:08+00:00,Experience with DPG,en,"Hi there, I will leave a short review due the fact that I just enrolled on the CIPD course, but so far the staff from DPG were most helpful and prompt in my requests by phone or by email.
Also they tried their best to help take decision in order to be able to enroll in the most suited course for me.
So in essence their customer support is on point. 
Unfortunately I can’t offer any more informations  because I just enrolled, but after finishing the program I will leave another review which will be more detailed.",Person,,Crisan Catalin,https://uk.trustpilot.com/users/57d7e68f0000ff000a43efb4,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
63,Review,2020-07-30T11:24:31+00:00,"Easy, straightforward and excellent value.",en,"Couldn’t have been more supportive and the  whole process of enrolling was so easy and straightforward. Such a relief at this difficult time. 
Best value out of all the Registered CIPD course providers too. Can’t wait to start!",Person,,Samantha,https://uk.trustpilot.com/users/5f22adeeb5a6e8a3c71db4be,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
64,Review,2020-07-30T09:32:11+00:00,Easy enrolment process,en,"Easy enrolment process, so far so good!",Person,,Leanne Darby,https://uk.trustpilot.com/users/514af816000064000134fe0e,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
65,Review,2020-07-29T11:59:43+00:00,Very helpful,en,Very helpful and trustworthy. Clare in particular was very efficient and answered all my questions in a timely manner. I would reccommend.,Person,,KK,https://uk.trustpilot.com/users/5b4c50704de5666d34a0e190,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
66,Review,2020-07-28T18:48:33+00:00,Super quick and efficient enrolment,en,Super quick and efficient enrolment,Person,,Eleanor,https://uk.trustpilot.com/users/5f2073015471a4c0c9e14e23,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
